,동-연번,상세위치,도로명주소,위도,경도
147,용문동-3,전신주옆,서울특별시 용산구 새창로 115-7,37.5326697,126.9639945
148,용문동-4,"좁은 도로, 아파트단지 인근, 재정비 지구, 주택가 ",서울특별시 용산구 효창원로 88,37.538939,126.9612671
149,용문동-5,"좁고 외진 골목, 주택가, 전신주",서울특별시 용산구 새창로 105,37.5298239,126.9677662
150,한강로동-1,,서울특별시 용산구 한강대로40길 118,37.5304314,126.9706468
151,한강로동-2,,서울특별시 용산구 한강대로46길 17-4,37.5310512,126.9712177
152,한강로동-3,,서울특별시 용산구 한강대로52길 17-9,37.5324188,126.9731354
153,한강로동-4,,서울특별시 용산구 한강대로52길 38,37.5324188,126.9731354
154,한강로동-5,,서울특별시 용산구 한강대로62길 75,37.5327854,126.9735417
155,한강로동-6,주차장 입구,서울특별시 용산구 한강대로62길 55,37.5327854,126.9735417
156,한강로동-7,,서울특별시 용산구 한강대로62길 45-16,37.5327854,126.9735417
157,한강로동-8,공원입구,서울특별시 용산구 이태원로2길 18,37.5345064,126.9750899
158,한강로동-9,,서울특별시 용산구 이태원로4길 14,37.5335611,126.9755674
159,한강로동-10,용산초교 앞,서울특별시 용산구 한강대로57길 33,37.5347471,126.9724672
160,한강로동-11,가로수 앞,서울특별시 용산구 한강대로 145,37.5447751,126.9719446
161,한강로동-12,,서울특별시 용산구 한강대로39길 34,37.5314636,126.9684041
162,한강로동-13,,서울특별시 용산구 새창로 213,37.5298239,126.9677662
163,한강로동-14,전신주 앞,서울특별시 용산구 한강대로 57,37.52618665,126.96464850794095
164,한강로동-15,전신주 앞,서울특별시 용산구 한강대로21길 29,37.526631,126.9646707
165,한강로동-16,,서울특별시 용산구 한강대로15길 27,37.5261438,126.9633921
166,한강로동-17,,서울특별시 용산구 한강대로11길 25,37.5253557,126.9626647
167,한강로동-18,,서울특별시 용산구 한강대로 7길,0.0,0.0
168,한강로동-19,군부대 삼거리,서울특별시 용산구 한강대로10길 14,37.52389,126.9641055
169,한강로동-20,,서울특별시 용산구 한강대로 92,37.5447751,126.9719446
170,한강로동-21,,서울특별시 용산구 이촌로29길 5,37.5243563,126.9595498
171,한강로동-22,가스정압시설 앞,서울특별시 용산구 한강대로 10길,0.0,0.0
172,한강로동-23,,서울특별시 용산구 한강대로 56-1,37.5447751,126.9719446
173,한강로동-24,,서울특별시 용산구 삼각지역 2번출구,37.5342091,126.9730498
174,한강로동-25,,서울특별시 용산구 한강대로 15길,0.0,0.0
175,이촌1동-1,"담배꽁초, 잡쓰레기 무단투기",서울특별시 용산구 이촌로65가길 72,37.5222642,126.9734036
176,이촌1동-2,"상업지역, 학교 담 옆, 우체국 앞, 쓰레기봉투 미사용, 혼합배출  등",서울특별시 용산구 이촌로 77길,0.0,0.0
177,이촌1동-3,"담배꽁초, 거주자우선 주차구역에 주차 후 차량의 잡쓰레기(음식물)무단투기",서울특별시 용산구 이촌로65가길 3,37.5222642,126.9734036
178,이촌1동-4,대형생활폐기물 및 잡쓰레기 무단투기,서울특별시 용산구 이촌로 200,37.5217998,126.9647626
179,이촌1동-5,"담배꽁초, 잡쓰레기무단투기",서울특별시 용산구 이촌역 4번,0.0,0.0
180,이촌1동-6,"담배꽁초, 잡쓰레기무단투기",서울특별시 용산구 이촌역 3-1번,0.0,0.0
181,이촌1동-7,"담배꽁초, 불법주차 후 차량의 잡쓰레기무단투기",서울특별시 용산구 이촌로 181,37.5217998,126.9647626
182,이촌2동-1,"의류수거함 옆 주거밀집지역, 편의점 앞",서울특별시 용산구 이촌로22길 20,37.5253416,126.9558138
183,이촌2동-2,"주거지역, 쓰레기 수거 거점지역, 유동인구 많음",서울특별시 용산구 이촌로18길 15-5,37.526192,126.9551755
184,이촌2동-3,"버스정류장 앞, 도로변 옆, 유동인구 많음",서울특별시 용산구 이촌로18길 6,37.526192,126.9551755
185,이촌2동-4,"주거밀집지역, 쓰레기수거 거점지역",서울특별시 용산구 이촌로 70,37.5217998,126.9647626
186,이촌2동-5,"주거밀집지역, 쓰레기수거 거점지역",서울특별시 용산구 이촌로14길16,0.0,0.0
187,이태원1동-1,"상업지역, 쓰레기 수거 거점지역",서울특별시 용산구 이태원로20길 2-12,37.5339532,126.9914813
188,이태원1동-2,"상업지역, 쓰레기 수거 거점지역",서울특별시 용산구 이태원로 179,37.5348135,126.9937364
189,이태원1동-3,"상업지역, 쓰레기 수거 거점지역",서울특별시 용산구 이태원동 118-74,37.53842,126.992
190,이태원1동-4,"다수외국인 거주지역, 다세대건물 외부주차공간",서울특별시 용산구 이태원로16길 41,37.5332083,126.9915206
191,이태원1동-5,"도로맨홀, 막다른 골목길",서울특별시 용산구 녹사평대로26길 82,37.5317316,126.9929511
192,이태원1동-6,쓰레기 수거 거점지역,서울특별시 용산구 녹사평대로40다길 43,37.5355757,126.9896029
193,이태원1동-7,세입자 거주지역,서울특별시 용산구 이태원로16길 19,37.5332083,126.9915206
194,이태원1동-8,쓰레기 수거 거점지역,서울특별시 용산구 이태원로20길 26,37.5331571,126.9924147
195,이태원1동-9,쓰레기 수거 거점지역,서울특별시 용산구 녹사평대로26길 51,37.5317316,126.9929511
196,이태원1동-10,쓰레기 수거 거점지역,서울특별시 용산구 녹사평대로26길 43,37.5317316,126.9929511
197,이태원1동-11,"쓰레기 수거 거점지역, 막다른 골목길",서울특별시 용산구 녹사평대로26길 92,37.5317316,126.9929511
198,이태원제2동-1,전신주옆,서울특별시 용산구 용산구 소월로38가길,0.0,0.0
199,이태원제2동-2,쓰레기 수거 거점지역 ,서울특별시 용산구 용산구 소월로40길,37.5414209,126.9917366
