연번,도로명주소,상세위치
서빙고동-16,서울특별시 용산구 서빙고로91나길 96,"전신주 옆, 도로변 등"
서빙고동-17,서울특별시 용산구 녹사평대로14길 23-1,"전신주 옆, 나대지 등"
서빙고동-18,서울특별시 용산구 녹사평대로14길 36,다세대 주택 앞
서빙고동-19,서울특별시 용산구 서빙고로91길 76,전신주 옆
보광동-1,서울특별시 용산구 보광로 43,"공중전화 박스 옆, 음식점 앞"
보광동-2,서울특별시 용산구 보광로 51,전신주 옆
보광동-3,서울특별시 용산구 우사단로2길 30,전신주 및 담장 옆
보광동-4,서울특별시 용산구 우사단로2길 45,"빌라 앞, 화단 옆"
보광동-5,서울특별시 용산구 우사단로2길 61,"전신주 옆, 공원 앞"
보광동-6,서울특별시 용산구 우사단로4길 13,일반 주택 담장 옆
보광동-7,서울특별시 용산구 우사단로4길 19,계단 아래
보광동-8,서울특별시 용산구 우사단로4길 29,"전신주 옆, 공가 앞"
보광동-9,서울특별시 용산구 우사단로4길 41,"전신주 옆, 계단 아래"
보광동-10,서울특별시 용산구 우사단로4길 57,일반 주택 앞
보광동-11,서울특별시 용산구 우사단로4길 67,일반 주택 담장 옆
보광동-12,서울특별시 용산구 우사단로4길 88-1,담장 및 비상소화장치함 옆
보광동-13,서울특별시 용산구 우사단로10길 76,"의류수거함 옆, 계단 위"
보광동-14,서울특별시 용산구 우사단로10길 86,"일반 주택 담장 옆, 골목입구"
보광동-15,서울특별시 용산구 우사단로10길 156,일반 주택 기둥 옆
보광동-16,서울특별시 용산구 우사단로10길 166,빌라 앞
보광동-17,서울특별시 용산구 우사단로10길 174-1,담장 옆
보광동-18,서울특별시 용산구 우사단로4라길 3,"슈퍼 앞, 계단 위"
보광동-19,서울특별시 용산구 우사단로2가길 14,공원 앞
보광동-20,서울특별시 용산구 우사단로2나길 7,일반 주택 담장 및 전신주 옆
보광동-21,서울특별시 용산구 우사단로2나길 10,빌라 앞
보광동-22,서울특별시 용산구 보광로31길 6,일반 주택 담장 및 전신주 옆
보광동-23,서울특별시 용산구 장문로45바길 26,"전신주 및 슈퍼 옆, 경사로면"
보광동-24,서울특별시 용산구 장문로45바길 19,전신주 옆
보광동-25,서울특별시 용산구 장문로41길 9,"전신주 옆, 경사로면"
보광동-26,서울특별시 용산구 보광로14길 29,전신주 옆
보광동-27,서울특별시 용산구 장문로6길 106,계단 아래
보광동-28,서울특별시 용산구 우사단로 10길 174,담장 옆
보광동-29,서울특별시 용산구 보광로 14길 20,"20 맞은편, 전신주 옆"
보광동-30,서울특별시 용산구 보광로 12가길 36,36 옆 전신주
보광동-31,서울특별시 용산구 보광로 30가길 19,19 맞은편
보광동-32,서울특별시 용산구 장문로 45라길 5,담장 옆
보광동-33,서울특별시 용산구 보광로 24길 9,24길 9 맞은편
보광동-34,서울특별시 용산구 우사단로 6길 14,담장 옆
보광동-35,서울특별시 용산구 장문로 45가길 33,45가길 33 맞은편 전신주 옆
보광동-36,서울특별시 용산구 장문로 45가길 27,45가길 27 맞은편 
보광동-37,서울특별시 용산구 보광로 7길 9,경로당 맞은편
보광동-38,서울특별시 용산구 장문로 45바길 40,옆 담장 전신주
보광동-39,서울특별시 용산구 장문로 45바길 11,45바길 11 맞은편 담장
보광동-40,서울특별시 용산구 장문로 45바길 7,45바길 7 건물입구 앞
